Date,AAL.L,AZN.L,BARC.L,BP.L,CPG.L,DGE.L,GSK.L,HSBA.L,LLOY.L,REL.L,RIO.L,RR.L,SHEL.L,ULVR.L,VOD.L
2020-05-22,-0.3594390791025899,0.0756020765157217,-0.5163247610572128,-0.3334406013698704,-0.3251218952293268,-0.14881570033322133,0.011030077328824328,-0.27532585287210987,-0.47099911611962386,-0.12343895533860982,-0.10459620203434727,-0.529642104832101,-0.2810881086457726,-0.0768056668187489,-0.30825801953765963
2020-05-26,-0.337691992370055,0.06483987813440395,-0.49560177355252144,-0.2997463369911453,-0.3102918482043008,-0.13332728467635868,0.021589619581452002,-0.2701886294856437,-0.45031611691303886,-0.12982620563118674,-0.09941471622661524,-0.5080544366302786,-0.24578864907866316,-0.09275018481440711,-0.3044938834448605
2020-05-27,-0.2803161358403733,0.10201695829169632,-0.4788260938866339,-0.2958359168559387,-0.3300715869835362,-0.11844350310282259,0.03546459628487009,-0.26988003173309705,-0.44012422086595515,-0.132330366752616,-0.05391647938471722,-0.506365494899006,-0.24294657625597949,-0.08721815377358033,-0.27448887267190625
2020-05-28,-0.2853025479952135,0.13599658824114202,-0.45098280263569923,-0.267553106221726,-0.28414856413749123,-0.07930555550965901,0.06291358505624012,-0.22864556299839933,-0.41290130735482655,-0.09347808234704069,-0.03915228406647897,-0.49491316855788237,-0.2146225885240397,-0.06613546439227791,-0.24646346738859592
2020-05-29,-0.25374560472156005,0.10521165577475022,-0.41087138479665775,-0.24813251786559876,-0.26913646794883916,-0.057863197355619844,0.0336886222900481,-0.24225231093004695,-0.35956460416883484,-0.07054667083642929,-0.03547491026337013,-0.4818360364273103,-0.19568898021752212,-0.07192525721230747,-0.22734105565271323
2020-06-01,-0.17936215844387882,0.14911760594800216,-0.2865837998488743,-0.19473618777955792,-0.20016911471258736,-0.018971753717758055,0.028960490628291202,-0.19044022698634733,-0.30963267553226836,-0.03554262494018334,0.07224293151381089,-0.40459554336057335,-0.14194929894157648,-0.050219711834896374,-0.15709624533812128
2020-06-02,-0.209952652841372,0.22490438339667485,-0.2880194889739711,-0.20964279297988042,-0.2189418622375473,-0.0056049401774557195,0.06324420817689091,-0.2174077189589353,-0.3577688833990206,-0.03784730091896271,0.021664412364882146,-0.4677417839341793,-0.202479717086,-0.01630699785164269,-0.16537671364890572
2020-06-03,-0.26141613473804326,0.17004278611676948,-0.283042655751218,-0.27331307776401326,-0.2525727279272051,-0.016361248348455537,-0.01153371701023076,-0.22620634351556002,-0.3604158316946465,-0.04597186437992751,-0.027921050599613806,-0.4915558635766155,-0.28228444560421107,-0.05115742513300192,-0.17355495923678443
2020-06-04,-0.2880771938231972,0.16578346927967935,-0.2857552153752084,-0.27557553624601383,-0.2699941806295776,-0.030491356063533925,0.03420408439034883,-0.22400924374616682,-0.37134052388289673,-0.06726443357936218,-0.06879294078771947,-0.5416797431623537,-0.2658388089433734,-0.07495736752088922,-0.17869971944548302
2020-06-05,-0.27881626009538896,0.14178404076056728,-0.2536450036926652,-0.24547503692672323,-0.212733939179795,-0.04236549842742887,0.0025244763846090645,-0.21671227541007976,-0.367724651896993,-0.06268876229474252,-0.08370423372409008,-0.5060916721839287,-0.23126500187807353,-0.09675963108623375,-0.19415382615656807
2020-06-08,-0.25535247942197514,0.17701957096164667,-0.2511137307044893,-0.24718024303484887,-0.195310198070892,-0.015143301724708791,0.034882442983429574,-0.2062598303025791,-0.3580850720086374,-0.05677259154934455,-0.01219690113675076,-0.4998300188846029,-0.23917166788529898,-0.10352483191084216,-0.20076668236068151
2020-06-09,-0.12715810102401615,0.1818558316158183,-0.19489836679005934,-0.2004453639140903,-0.1867296402517883,0.013868572232228926,0.05082802105769657,-0.16423658428715815,-0.3151269672501691,0.006676341814672027,0.06291007311477514,-0.5119010906337291,-0.17421215920237088,-0.06181071198817201,-0.1734738604566025
2020-06-10,-0.049520603009202246,0.24332447519417366,-0.1312447276551587,-0.013408193026723692,-0.14014902192727585,0.08218635708379174,0.08385016224353437,-0.12553186071587452,-0.2623983808436926,0.07500344572030238,0.13080956977430303,-0.502639868415121,-0.0030355288524250845,0.0013198699716188145,-0.09047027939156016
2020-06-11,-0.07017358027791032,0.27516183257262394,-0.1270112956198698,-0.04732949867568981,-0.1324297611127433,0.10965751325257145,0.12703029258518517,-0.14211056234284036,-0.2974021401383996,0.1042649844499206,0.1055374991797442,-0.49946179652893063,-0.04010543737222805,0.03702794073824078,0.00870140612700343
2020-06-12,-0.09413897562905094,0.2946082147857372,-0.16898417018962575,-0.04861989839598313,-0.15982415186164822,0.10577871528012284,0.1442268982869197,-0.16663250679041808,-0.3112534430660481,0.09040196754159857,0.10878288640673928,-0.5202756610092885,-0.051281893699242076,0.0344915313063221,0.03404830451083485
2020-06-15,0.10515231911032874,0.38818512116419845,-0.0038965863139087675,0.0782870059002665,-0.1083803253071629,0.13446973945899465,0.1690317610584724,-0.1036888215251408,-0.22651706019005124,0.18484156228409487,0.2658357993408156,-0.45257088812785684,0.06843009730133454,0.06695303514232775,0.14989396780799402
2020-06-16,0.07352520285732611,0.37286267428806386,-0.0481540201280547,0.07339445069050621,-0.08364858144001297,0.12325967914624836,0.17480939374172144,-0.14199853794810502,-0.24769051509777695,0.17053981469091029,0.19792334650185262,-0.47979218615880703,0.0862580944877136,0.07183064401733774,0.15153253908048692
2020-06-17,0.24046540851774956,0.41295589541767663,0.18122612771410695,0.23726685216279564,0.028533121287717345,0.20735060295739616,0.20410197550153675,-0.10701980420676271,-0.15451451958988138,0.211685176858722,0.2586747913702141,-0.36697717407064445,0.26606988993180614,0.13536832629226603,0.28545212106754025
2020-06-18,0.23868855881291506,0.290879458498444,0.19325442056660824,0.2102194321222539,0.03724376546007546,0.21466739593840534,0.10588947283413841,-0.1680986862761381,-0.16237269193581005,0.1941164655674097,0.25814035366834953,-0.3111967557619554,0.2123430446880763,0.006566230132883044,0.17953957758456118
